iata,lat,lon,country,icao,tz,city,subd,size
XCO,-38.2867,143.67999,AU,YOLA,Australia/Melbourne,,Victoria,small
KTA,-20.7122,116.773,AU,YPKA,Australia/Perth,Karratha,Western Australia,small
KFG,-17.4319,130.808,AU,YKKG,Australia/Darwin,,Northern Territory,small
KOH,-15.9167,142.45,AU,YKLA,Australia/Brisbane,,Queensland,small
LWH,-18.5683,138.63499,AU,YLAH,Australia/Brisbane,,Queensland,small
LRE,-23.4342,144.28,AU,YLRE,Australia/Brisbane,Longreach,Queensland,small
MGT,-12.0944,134.894,AU,YMGB,Australia/Darwin,Milingimbi Island,Northern Territory,small
HBA,-42.8361,147.50999,AU,YMHB,Australia/Hobart,Hobart,Tasmania,small
OXY,-25.3583,141.433,AU,YMNY,Australia/Brisbane,,Queensland,small
MBH,-25.5133,152.715,AU,YMYB,Australia/Brisbane,,Queensland,small
ODR,-17.3408,128.912,AU,YORV,Australia/Perth,Ord River,Western Australia,small
KNS,-39.8775,143.87801,AU,YKII,Australia/Melbourne,,Tasmania,small
MQL,-34.2292,142.086,AU,YMIA,Australia/Hobart,Mildura,Victoria,small
MJP,-34.2653,116.14,AU,YMJM,Australia/Perth,,Western Australia,small
MXU,-28.475,115.517,AU,YMWA,Australia/Perth,,Western Australia,small
NLL,-21.9133,120.198,AU,YNUL,Australia/Perth,,Western Australia,small
MOO,-28.0994,140.19701,AU,YOOM,Australia/Adelaide,,South Australia,small
PBO,-23.1711,117.745,AU,YPBO,Australia/Perth,Paraburdoo,Western Australia,small
KWM,-15.4856,141.75101,AU,YKOW,Australia/Brisbane,Kowanyama,Queensland,small
KGC,-35.7139,137.521,AU,YKSC,Australia/Adelaide,,South Australia,small
LIB,-17.25,129.883,AU,YLIM,Australia/Darwin,,Northern Territory,small
LUU,-15.55,144.45,AU,YLRA,Australia/Brisbane,,Queensland,small
MNW,-22.4667,135.233,AU,YMDS,Australia/Darwin,,Northern Territory,small
NLS,-18.05,128.89999,AU,YNIC,Australia/Perth,,Western Australia,small
OYN,-35.08901,142.35449,AU,YOUY,Australia/Melbourne,,Victoria,small
PQQ,-31.4358,152.86301,AU,YPMQ,Australia/Sydney,Port Macquarie,New South Wales,medium
XCH,-10.4506,105.69,CX,YPXM,Indian/Christmas,Christmas Island,,small
ZGL,-25.6833,142.108,AU,YSGW,Australia/Brisbane,,Queensland,small
SRN,-42.155,145.29201,AU,YSRN,Australia/Melbourne,,Tasmania,small
TBK,-15.62,130.44501,AU,YTBR,Australia/Darwin,,Northern Territory,small
TAN,-27.13,153.36301,AU,YTGA,Australia/Brisbane,,Queensland,small
TCA,-19.6344,134.183,AU,YTNK,Australia/Darwin,Tennant Creek,Northern Territory,small
WYA,-33.0589,137.51401,AU,YWHA,Australia/Adelaide,Whyalla,South Australia,small
